#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
COMP	POSTN	9606.ENSP00000222271	9606.ENSP00000369071	0	0	0	0	0.178	0	0	0.366	0.456
COMP	RUNX2	9606.ENSP00000222271	9606.ENSP00000360493	0	0	0	0	0	0	0	0.459	0.459
COMP	COL11A1	9606.ENSP00000222271	9606.ENSP00000359114	0	0	0	0	0.159	0.057	0	0.381	0.466
COMP	ADAMTS9	9606.ENSP00000222271	9606.ENSP00000418735	0	0	0	0	0	0.123	0	0.440	0.488
COMP	COL3A1	9606.ENSP00000222271	9606.ENSP00000304408	0	0	0	0	0.172	0.057	0	0.404	0.494
COMP	HAPLN1	9606.ENSP00000222271	9606.ENSP00000274341	0	0	0	0	0	0	0	0.499	0.499
COMP	CHI3L1	9606.ENSP00000222271	9606.ENSP00000255409	0	0	0	0	0	0	0	0.505	0.505
COMP	COL1A2	9606.ENSP00000222271	9606.ENSP00000297268	0	0	0	0	0.121	0.056	0	0.458	0.511
COMP	ADAMTS2	9606.ENSP00000222271	9606.ENSP00000251582	0	0	0	0	0.097	0.074	0	0.469	0.518
COMP	COL10A1	9606.ENSP00000222271	9606.ENSP00000327368	0	0	0	0	0.100	0	0	0.532	0.560
COMP	COL1A1	9606.ENSP00000222271	9606.ENSP00000225964	0	0	0	0	0.199	0.057	0	0.505	0.593
COMP	ITGA2	9606.ENSP00000222271	9606.ENSP00000296585	0	0	0	0	0	0.067	0.600	0.159	0.658
COMP	SDC4	9606.ENSP00000222271	9606.ENSP00000361818	0	0	0	0	0	0	0.600	0.212	0.671
COMP	ITGA11	9606.ENSP00000222271	9606.ENSP00000327290	0	0	0	0	0.081	0.067	0.600	0.206	0.691
COMP	ADAMTS14	9606.ENSP00000222271	9606.ENSP00000362304	0	0	0	0	0.062	0.074	0	0.710	0.726
COMP	ADAMTS12	9606.ENSP00000222271	9606.ENSP00000422554	0	0	0	0	0	0.587	0	0.603	0.829
COMP	FN1	9606.ENSP00000222271	9606.ENSP00000346839	0	0	0	0	0.062	0.213	0	0.818	0.854
COMP	ADAMTS7	9606.ENSP00000222271	9606.ENSP00000373472	0	0	0	0	0	0.519	0	0.764	0.882
CORO2A	MYO1G	9606.ENSP00000343746	9606.ENSP00000258787	0	0	0	0	0.362	0.142	0	0.144	0.490
CPNE4	CBLN4	9606.ENSP00000478878	9606.ENSP00000064571	0	0	0	0	0.172	0	0	0.537	0.601
CPNE4	LAMP5	9606.ENSP00000478878	9606.ENSP00000246070	0	0	0	0	0.116	0	0	0.354	0.405
CPNE4	PLXND1	9606.ENSP00000478878	9606.ENSP00000317128	0	0	0	0	0.062	0	0	0.442	0.454
CPNE4	LONRF2	9606.ENSP00000478878	9606.ENSP00000377086	0	0	0	0	0.117	0	0	0.424	0.470
CPNE4	PDZRN4	9606.ENSP00000478878	9606.ENSP00000384197	0	0	0	0	0.089	0	0	0.393	0.424
CPT1C	SLC27A6	9606.ENSP00000376303	9606.ENSP00000262462	0	0	0	0	0	0	0	0.521	0.521
CPT1C	LPL	9606.ENSP00000376303	9606.ENSP00000309757	0	0	0	0	0	0	0	0.431	0.431
CPT1C	GRIK3	9606.ENSP00000376303	9606.ENSP00000362183	0	0	0	0	0.090	0	0.360	0.055	0.401
CRABP2	RDH5	9606.ENSP00000482841	9606.ENSP00000257895	0	0	0	0	0	0	0	0.418	0.418
CRABP2	ALDH1A3	9606.ENSP00000482841	9606.ENSP00000332256	0	0	0	0	0.083	0	0	0.524	0.545
CRABP2	RXRG	9606.ENSP00000482841	9606.ENSP00000352900	0	0	0	0	0	0.064	0.600	0.373	0.744
CRABP2	STRA6	9606.ENSP00000482841	9606.ENSP00000456609	0	0	0	0	0.081	0	0	0.640	0.655
CRABP2	DHRS3	9606.ENSP00000482841	9606.ENSP00000480439	0	0	0	0	0.049	0.101	0	0.391	0.433
CRLF1	FN1	9606.ENSP00000376188	9606.ENSP00000346839	0	0	0	0	0	0	0	0.433	0.433
CSMD1	MACROD2	9606.ENSP00000430733	9606.ENSP00000217246	0	0	0	0	0.062	0	0	0.452	0.463
CSMD1	RIMBP2	9606.ENSP00000430733	9606.ENSP00000261655	0	0	0	0	0.096	0	0	0.418	0.452
CSMD1	TRPC5	9606.ENSP00000430733	9606.ENSP00000262839	0	0	0	0	0.090	0	0	0.425	0.455
CSMD1	CDH13	9606.ENSP00000430733	9606.ENSP00000268613	0	0	0	0	0.062	0.056	0	0.466	0.485
CSMD1	TENM1	9606.ENSP00000430733	9606.ENSP00000403954	0	0	0	0	0.076	0	0	0.403	0.425
CSMD1	TUSC3	9606.ENSP00000430733	9606.ENSP00000424544	0	0	0	0	0	0	0	0.471	0.471
CSMD1	IQSEC3	9606.ENSP00000430733	9606.ENSP00000437554	0	0	0	0	0.097	0	0	0.471	0.502
CSPG4	ITGA3	9606.ENSP00000312506	9606.ENSP00000007722	0	0	0	0	0.148	0	0.900	0.203	0.926
CSPG4	LGALS3	9606.ENSP00000312506	9606.ENSP00000254301	0	0	0	0	0.067	0.295	0	0.721	0.800
CSPG4	VCAN	9606.ENSP00000312506	9606.ENSP00000265077	0	0	0	0	0.062	0	0.300	0.438	0.599
CSPG4	MMP16	9606.ENSP00000312506	9606.ENSP00000286614	0	0	0	0	0.084	0	0	0.951	0.953
CSPG4	POSTN	9606.ENSP00000312506	9606.ENSP00000369071	0	0	0	0	0.235	0	0	0.272	0.419
CSPG4	FN1	9606.ENSP00000312506	9606.ENSP00000346839	0	0	0	0	0.230	0	0	0.620	0.695
CSPG4	B3GAT1	9606.ENSP00000312506	9606.ENSP00000433847	0	0	0	0	0	0	0.900	0.097	0.905
CSPG4	SDC4	9606.ENSP00000312506	9606.ENSP00000361818	0	0	0	0	0.072	0	0.900	0.309	0.930
CST1	CST4	9606.ENSP00000305731	9606.ENSP00000217423	0	0	0	0.980	0.381	0.631	0	0.811	0.765
CST1	CTSC	9606.ENSP00000305731	9606.ENSP00000227266	0	0	0	0	0.062	0.076	0	0.488	0.517
CST1	S100A9	9606.ENSP00000305731	9606.ENSP00000357727	0	0	0	0	0	0	0	0.414	0.414
CST1	CST2	9606.ENSP00000305731	9606.ENSP00000307540	0	0	0	0.979	0.433	0	0	0.909	0.443
CST2	CTSH	9606.ENSP00000307540	9606.ENSP00000220166	0	0	0	0	0	0.076	0	0.391	0.413
CST2	CTSC	9606.ENSP00000307540	9606.ENSP00000227266	0	0	0	0	0.062	0.076	0	0.423	0.456
CST2	CST1	9606.ENSP00000307540	9606.ENSP00000305731	0	0	0	0.979	0.433	0	0	0.909	0.443
CST4	S100A9	9606.ENSP00000217423	9606.ENSP00000357727	0	0	0	0	0	0	0	0.402	0.402
CST4	CTSH	9606.ENSP00000217423	9606.ENSP00000220166	0	0	0	0	0	0.076	0	0.510	0.528
CST4	CTSC	9606.ENSP00000217423	9606.ENSP00000227266	0	0	0	0	0.062	0.076	0	0.528	0.556
CST4	CST1	9606.ENSP00000217423	9606.ENSP00000305731	0	0	0	0.980	0.381	0.631	0	0.811	0.765
CST6	CTSC	9606.ENSP00000311313	9606.ENSP00000227266	0	0	0	0	0.062	0.076	0	0.414	0.448
CTHRC1	COL1A1	9606.ENSP00000330523	9606.ENSP00000225964	0	0	0	0	0.219	0	0	0.432	0.538
CTHRC1	COL1A2	9606.ENSP00000330523	9606.ENSP00000297268	0	0	0	0	0.328	0	0	0.260	0.482
CTHRC1	COL3A1	9606.ENSP00000330523	9606.ENSP00000304408	0	0	0	0	0.211	0	0	0.365	0.477
CTHRC1	THBS2	9606.ENSP00000330523	9606.ENSP00000355751	0	0	0	0	0.165	0	0	0.323	0.410
CTHRC1	FN1	9606.ENSP00000330523	9606.ENSP00000346839	0	0	0	0	0.175	0	0	0.315	0.411
CTHRC1	COL5A2	9606.ENSP00000330523	9606.ENSP00000364000	0	0	0	0	0.289	0	0	0.342	0.512
CTHRC1	POSTN	9606.ENSP00000330523	9606.ENSP00000369071	0	0	0	0	0.255	0	0	0.393	0.528
CTHRC1	P4HA2	9606.ENSP00000330523	9606.ENSP00000384999	0	0	0	0	0.087	0	0	0.610	0.629
CTSC	CST4	9606.ENSP00000227266	9606.ENSP00000217423	0	0	0	0	0.062	0.076	0	0.528	0.556
CTSC	CDKN2B	9606.ENSP00000227266	9606.ENSP00000276925	0	0	0	0	0	0.070	0	0.388	0.406
CTSC	CST6	9606.ENSP00000227266	9606.ENSP00000311313	0	0	0	0	0.062	0.076	0	0.414	0.448
CTSC	CST2	9606.ENSP00000227266	9606.ENSP00000307540	0	0	0	0	0.062	0.076	0	0.423	0.456
CTSC	DPP4	9606.ENSP00000227266	9606.ENSP00000353731	0	0	0	0	0.062	0	0	0.462	0.474
CTSC	CST1	9606.ENSP00000227266	9606.ENSP00000305731	0	0	0	0	0.062	0.076	0	0.488	0.517
CTSC	SERPINA1	9606.ENSP00000227266	9606.ENSP00000416066	0	0	0	0	0	0.067	0.300	0.349	0.537
CTSC	BID	9606.ENSP00000227266	9606.ENSP00000318822	0	0	0	0	0	0	0.600	0	0.600
CTSC	TGFA	9606.ENSP00000227266	9606.ENSP00000295400	0	0	0	0	0	0	0.600	0.050	0.603
CTSC	TPSAB1	9606.ENSP00000227266	9606.ENSP00000343577	0	0	0	0	0	0	0	0.605	0.605
CTSC	F5	9606.ENSP00000227266	9606.ENSP00000356771	0	0	0	0	0.062	0	0.600	0	0.608
CTSC	COL7A1	9606.ENSP00000227266	9606.ENSP00000332371	0	0	0	0	0.052	0	0.600	0.086	0.623
CTSC	HLA-DQB2	9606.ENSP00000227266	9606.ENSP00000390431	0	0	0	0	0.082	0	0.900	0.063	0.906
CTSH	CST4	9606.ENSP00000220166	9606.ENSP00000217423	0	0	0	0	0	0.076	0	0.510	0.528
CTSH	CST2	9606.ENSP00000220166	9606.ENSP00000307540	0	0	0	0	0	0.076	0	0.391	0.413
CTSH	BID	9606.ENSP00000220166	9606.ENSP00000318822	0	0	0	0	0	0	0.600	0	0.600
CTSH	NAPSA	9606.ENSP00000220166	9606.ENSP00000253719	0	0	0	0	0.107	0.219	0.500	0.338	0.738
CTSH	HLA-DQB2	9606.ENSP00000220166	9606.ENSP00000390431	0	0	0	0	0.094	0	0.900	0.054	0.906
CTSH	SFTPB	9606.ENSP00000220166	9606.ENSP00000386346	0	0	0	0	0.080	0.233	0.900	0.443	0.955
CTXN1	GLDN	9606.ENSP00000313226	9606.ENSP00000335196	0	0	0	0	0	0	0	0.500	0.500
CTXN1	VSTM2L	9606.ENSP00000313226	9606.ENSP00000362560	0	0	0	0	0.190	0	0	0.509	0.585
CXCL14	CCL22	9606.ENSP00000337065	9606.ENSP00000219235	0	0	0	0	0	0	0	0.455	0.455
CXCL14	CCL17	9606.ENSP00000337065	9606.ENSP00000219244	0	0	0	0	0	0.237	0	0.463	0.572
CXCL14	CCL13	9606.ENSP00000337065	9606.ENSP00000225844	0	0	0	0	0.065	0.237	0	0.392	0.528
CXCL14	CXCL8	9606.ENSP00000337065	9606.ENSP00000306512	0	0	0	0	0	0	0	0.550	0.551
CXCL14	CXCL17	9606.ENSP00000337065	9606.ENSP00000472467	0	0	0	0	0	0.237	0	0.563	0.652
CXCL17	CCL17	9606.ENSP00000472467	9606.ENSP00000219244	0	0	0	0	0	0.237	0	0.593	0.676
CXCL17	CCL13	9606.ENSP00000472467	9606.ENSP00000225844	0	0	0	0	0	0.237	0	0.260	0.411
CXCL17	CXCL14	9606.ENSP00000472467	9606.ENSP00000337065	0	0	0	0	0	0.237	0	0.563	0.652
CXCL8	MMP11	9606.ENSP00000306512	9606.ENSP00000215743	0	0	0	0	0	0	0	0.476	0.476
CXCL8	TIMP1	9606.ENSP00000306512	9606.ENSP00000218388	0	0	0	0	0.120	0	0	0.688	0.713
CXCL8	CCL22	9606.ENSP00000306512	9606.ENSP00000219235	0	0	0	0	0	0	0.900	0.683	0.967
CXCL8	CCL17	9606.ENSP00000306512	9606.ENSP00000219244	0	0	0	0	0	0	0	0.693	0.693
CXCL8	NOD1	9606.ENSP00000306512	9606.ENSP00000222823	0	0	0	0	0	0	0	0.646	0.646
CXCL8	CCL13	9606.ENSP00000306512	9606.ENSP00000225844	0	0	0	0	0.083	0	0	0.624	0.641
CXCL8	CCND1	9606.ENSP00000306512	9606.ENSP00000227507	0	0	0	0	0	0	0	0.560	0.560
CXCL8	TREM1	9606.ENSP00000306512	9606.ENSP00000244709	0	0	0	0	0.219	0	0	0.596	0.671
CXCL8	C3	9606.ENSP00000306512	9606.ENSP00000245907	0	0	0	0	0.070	0	0	0.577	0.590
CXCL8	APOE	9606.ENSP00000306512	9606.ENSP00000252486	0	0	0	0	0	0	0	0.548	0.548
CXCL8	GDF15	9606.ENSP00000306512	9606.ENSP00000252809	0	0	0	0	0.076	0	0	0.426	0.446
CXCL8	LGALS3	9606.ENSP00000306512	9606.ENSP00000254301	0	0	0	0	0.097	0	0	0.502	0.531
CXCL8	CHI3L1	9606.ENSP00000306512	9606.ENSP00000255409	0	0	0	0	0.077	0	0	0.509	0.527
CXCL8	NT5E	9606.ENSP00000306512	9606.ENSP00000257770	0	0	0	0	0.076	0	0	0.512	0.530
CXCL8	MMP7	9606.ENSP00000306512	9606.ENSP00000260227	0	0	0	0	0.151	0	0	0.628	0.671
CXCL8	NOX4	9606.ENSP00000306512	9606.ENSP00000263317	0	0	0	0	0	0	0	0.401	0.400
CXCL8	ICAM1	9606.ENSP00000306512	9606.ENSP00000264832	0	0	0	0	0.214	0	0	0.858	0.883
CXCL8	CDH2	9606.ENSP00000306512	9606.ENSP00000269141	0	0	0	0	0	0	0	0.426	0.426
CXCL8	CD1A	9606.ENSP00000306512	9606.ENSP00000289429	0	0	0	0	0	0	0	0.458	0.457
CXCL8	S100B	9606.ENSP00000306512	9606.ENSP00000291700	0	0	0	0	0	0	0	0.460	0.459
CXCL8	TGFA	9606.ENSP00000306512	9606.ENSP00000295400	0	0	0	0	0.070	0	0	0.466	0.482
CXCL8	ANPEP	9606.ENSP00000306512	9606.ENSP00000300060	0	0	0	0	0.143	0	0	0.399	0.463
CXCL8	ANGPTL4	9606.ENSP00000306512	9606.ENSP00000301455	0	0	0	0	0.062	0	0	0.414	0.426
CXCL8	SDC4	9606.ENSP00000306512	9606.ENSP00000361818	0	0	0	0	0.083	0	0	0.380	0.407
CXCL8	IL1RAP	9606.ENSP00000306512	9606.ENSP00000314807	0	0	0	0	0.069	0	0	0.394	0.411
CXCL8	TNFRSF12A	9606.ENSP00000306512	9606.ENSP00000326737	0	0	0	0	0.073	0	0	0.391	0.411
CXCL8	CD55	9606.ENSP00000306512	9606.ENSP00000356030	0	0	0	0	0.082	0	0	0.390	0.416
CXCL8	POSTN	9606.ENSP00000306512	9606.ENSP00000369071	0	0	0	0	0	0	0	0.421	0.420
CXCL8	ADM	9606.ENSP00000306512	9606.ENSP00000436607	0	0	0	0	0.088	0	0	0.392	0.421
CXCL8	TNFSF15	9606.ENSP00000306512	9606.ENSP00000363157	0	0	0	0	0.085	0	0	0.407	0.434
CXCL8	S100A4	9606.ENSP00000306512	9606.ENSP00000357705	0	0	0	0	0.117	0	0	0.390	0.438
CXCL8	RUNX2	9606.ENSP00000306512	9606.ENSP00000360493	0	0	0	0	0.098	0	0	0.402	0.438
CXCL8	MET	9606.ENSP00000306512	9606.ENSP00000317272	0	0	0	0	0	0	0	0.460	0.459
CXCL8	IGFBP3	9606.ENSP00000306512	9606.ENSP00000370473	0	0	0	0	0	0	0	0.459	0.459
CXCL8	FGF1	9606.ENSP00000306512	9606.ENSP00000480791	0	0	0	0	0	0	0	0.466	0.465
CXCL8	THBS4	9606.ENSP00000306512	9606.ENSP00000339730	0	0	0	0	0	0	0	0.504	0.504
CXCL8	CDKN2A	9606.ENSP00000306512	9606.ENSP00000418915	0	0	0	0	0	0	0	0.505	0.505
CXCL8	ALOX5	9606.ENSP00000306512	9606.ENSP00000363512	0	0	0	0	0	0	0	0.506	0.506
CXCL8	MUC1	9606.ENSP00000306512	9606.ENSP00000484824	0	0	0	0	0.069	0	0	0.504	0.518
CXCL8	S100A9	9606.ENSP00000306512	9606.ENSP00000357727	0	0	0	0	0.164	0	0	0.463	0.532
CXCL8	CXCL14	9606.ENSP00000306512	9606.ENSP00000337065	0	0	0	0	0	0	0	0.550	0.551
CXCL8	HP	9606.ENSP00000306512	9606.ENSP00000348170	0	0	0	0	0	0	0	0.571	0.571
CXCL8	SLPI	9606.ENSP00000306512	9606.ENSP00000342082	0	0	0	0	0.088	0	0	0.566	0.587
CXCL8	PLAU	9606.ENSP00000306512	9606.ENSP00000361850	0	0	0	0	0.143	0	0	0.549	0.597
CXCL8	GRM4	9606.ENSP00000306512	9606.ENSP00000440556	0	0	0	0	0	0	0.600	0.043	0.600
CXCL8	SAA1	9606.ENSP00000306512	9606.ENSP00000384906	0	0	0	0	0.092	0	0	0.607	0.628
CXCL8	LCN2	9606.ENSP00000306512	9606.ENSP00000362108	0	0	0	0	0.107	0	0	0.603	0.631
CXCL8	PLAUR	9606.ENSP00000306512	9606.ENSP00000339328	0	0	0	0	0.287	0	0	0.514	0.639
CXCL8	LPAR5	9606.ENSP00000306512	9606.ENSP00000327875	0	0	0	0	0	0	0.600	0.181	0.658
CXCL8	FN1	9606.ENSP00000306512	9606.ENSP00000346839	0	0	0	0	0	0	0	0.723	0.723
CXCL8	SERPINA1	9606.ENSP00000306512	9606.ENSP00000416066	0	0	0	0	0.140	0	0	0.777	0.800
CXCL8	F2R	9606.ENSP00000306512	9606.ENSP00000321326	0	0	0	0	0	0	0.600	0.580	0.824
CYP1B1	SULT2B1	9606.ENSP00000478561	9606.ENSP00000201586	0	0	0	0	0	0	0	0.427	0.427
CYP1B1	PXDN	9606.ENSP00000478561	9606.ENSP00000252804	0	0	0	0	0.063	0	0	0.572	0.582
CYP1B1	FOXQ1	9606.ENSP00000478561	9606.ENSP00000296839	0	0	0	0	0	0.056	0	0.436	0.444
CYP1B1	PGR	9606.ENSP00000478561	9606.ENSP00000325120	0	0	0	0	0.049	0.073	0	0.391	0.416
CYP1B1	ALDH1A3	9606.ENSP00000478561	9606.ENSP00000332256	0	0	0	0	0.079	0.061	0	0.440	0.474
CYP1B1	CYP4B1	9606.ENSP00000478561	9606.ENSP00000360991	0	0	0.391	0.567	0.083	0.107	0	0.577	0.455
CYP1B1	ALDH3B1	9606.ENSP00000478561	9606.ENSP00000473990	0	0	0	0	0.062	0.061	0	0.428	0.452
CYP24A1	CA12	9606.ENSP00000216862	9606.ENSP00000178638	0	0	0	0	0	0	0	0.856	0.856
CYP24A1	PHEX	9606.ENSP00000216862	9606.ENSP00000368682	0	0	0	0	0	0	0	0.473	0.473
CYP24A1	RXRG	9606.ENSP00000216862	9606.ENSP00000352900	0	0	0	0	0	0.105	0	0.441	0.478
CYP24A1	CYP4B1	9606.ENSP00000216862	9606.ENSP00000360991	0	0	0.439	0.602	0.062	0.394	0	0.255	0.549
CYP24A1	KL	9606.ENSP00000216862	9606.ENSP00000369442	0	0	0	0	0.063	0	0	0.663	0.671
CYP2S1	CYP4B1	9606.ENSP00000308032	9606.ENSP00000360991	0	0	0.436	0.565	0	0.090	0	0.604	0.443
CYP2S1	ALDH1A3	9606.ENSP00000308032	9606.ENSP00000332256	0	0	0	0	0	0.061	0.900	0.125	0.910
CYP4B1	CYP24A1	9606.ENSP00000360991	9606.ENSP00000216862	0	0	0.439	0.602	0.062	0.394	0	0.255	0.549
CYP4B1	NOX4	9606.ENSP00000360991	9606.ENSP00000263317	0	0	0	0	0.064	0.394	0	0.067	0.424
CYP4B1	CYP2S1	9606.ENSP00000360991	9606.ENSP00000308032	0	0	0.436	0.565	0	0.090	0	0.604	0.443
CYP4B1	CYP1B1	9606.ENSP00000360991	9606.ENSP00000478561	0	0	0.391	0.567	0.083	0.107	0	0.577	0.455
CYSLTR2	ADCY8	9606.ENSP00000282018	9606.ENSP00000286355	0	0	0	0	0	0	0.650	0	0.650
CYSLTR2	ALOX5	9606.ENSP00000282018	9606.ENSP00000363512	0	0	0	0	0.069	0	0	0.757	0.764
CYSRT1	GGT6	9606.ENSP00000386453	9606.ENSP00000370962	0	0	0	0	0	0	0	0.513	0.513
DAPK2	UNC5B	9606.ENSP00000261891	9606.ENSP00000334329	0	0	0	0	0	0.056	0.600	0.296	0.711
DCHS2	FJX1	9606.ENSP00000485514	9606.ENSP00000400223	0	0	0	0	0.063	0.667	0	0.787	0.927
DCSTAMP	CDKN2A	9606.ENSP00000297581	9606.ENSP00000418915	0	0	0	0	0	0	0	0.427	0.427
DEPDC1B	IQGAP3	9606.ENSP00000265036	9606.ENSP00000354451	0	0	0	0	0.290	0	0	0.195	0.404
DHRS3	ALDH1A3	9606.ENSP00000480439	9606.ENSP00000332256	0	0	0	0	0.083	0.105	0.900	0.479	0.951
DHRS3	STRA6	9606.ENSP00000480439	9606.ENSP00000456609	0	0	0	0	0	0	0	0.476	0.476
DHRS3	CRABP2	9606.ENSP00000480439	9606.ENSP00000482841	0	0	0	0	0.049	0.101	0	0.391	0.433
DIRAS3	LRRK2	9606.ENSP00000360020	9606.ENSP00000298910	0.045	0	0	0	0.062	0.344	0	0.137	0.425
DIRAS3	PHLDA2	9606.ENSP00000360020	9606.ENSP00000319231	0	0	0	0	0	0	0	0.688	0.688
DLG4	SEMA3F	9606.ENSP00000382428	9606.ENSP00000002829	0	0	0	0	0.065	0.078	0	0.366	0.405
DLG4	NGFR	9606.ENSP00000382428	9606.ENSP00000172229	0	0	0	0	0.076	0	0	0.700	0.711
DLG4	SLC30A3	9606.ENSP00000382428	9606.ENSP00000233535	0	0	0	0	0.062	0	0	0.398	0.412
DLG4	KCNJ2	9606.ENSP00000382428	9606.ENSP00000243457	0	0	0	0	0	0.345	0	0.445	0.621
DLG4	APOE	9606.ENSP00000382428	9606.ENSP00000252486	0	0	0	0	0.066	0	0	0.501	0.514
DLG4	PPP1R1B	9606.ENSP00000382428	9606.ENSP00000254079	0	0	0	0	0.105	0	0	0.478	0.513
DLG4	SYT1	9606.ENSP00000382428	9606.ENSP00000261205	0	0	0	0	0.124	0.179	0	0.662	0.736
DLG4	CACNG4	9606.ENSP00000382428	9606.ENSP00000262138	0	0	0	0	0.097	0.074	0.600	0	0.636
DLG4	NGEF	9606.ENSP00000382428	9606.ENSP00000264051	0	0	0	0	0.099	0.068	0	0.353	0.410
DLG4	SLIT1	9606.ENSP00000382428	9606.ENSP00000266058	0	0	0	0	0.137	0.102	0	0.309	0.418
DLG4	CDH2	9606.ENSP00000382428	9606.ENSP00000269141	0	0	0	0	0.062	0.078	0	0.795	0.807
DLG4	EPS8	9606.ENSP00000382428	9606.ENSP00000281172	0	0	0	0	0.062	0.165	0.360	0.471	0.699
DLG4	TIAM1	9606.ENSP00000382428	9606.ENSP00000286827	0	0	0	0	0.089	0.056	0	0.550	0.579
DLG4	S100B	9606.ENSP00000382428	9606.ENSP00000291700	0	0	0	0	0.118	0	0	0.370	0.421
DLG4	CLU	9606.ENSP00000382428	9606.ENSP00000315130	0	0	0	0	0.074	0.262	0	0.195	0.401
DLG4	TUBB3	9606.ENSP00000382428	9606.ENSP00000320295	0	0	0	0	0.063	0.068	0	0.457	0.485
DLG4	PALM	9606.ENSP00000382428	9606.ENSP00000341911	0	0	0	0	0.105	0	0	0.413	0.452
DLG4	FN1	9606.ENSP00000382428	9606.ENSP00000346839	0	0	0	0	0	0	0	0.682	0.682
DLG4	NTRK3	9606.ENSP00000382428	9606.ENSP00000354207	0	0	0	0	0.091	0.102	0	0.343	0.417
DLG4	DMD	9606.ENSP00000382428	9606.ENSP00000354923	0	0	0	0	0	0.080	0	0.397	0.422
DLG4	GRIK3	9606.ENSP00000382428	9606.ENSP00000362183	0	0	0	0	0.117	0.104	0.600	0.297	0.748
DLG4	LRP4	9606.ENSP00000382428	9606.ENSP00000367888	0	0	0	0	0.097	0.164	0	0.706	0.759
DLG4	NRCAM	9606.ENSP00000382428	9606.ENSP00000368314	0	0	0	0	0.108	0.182	0.600	0.495	0.833
DLG4	GAP43	9606.ENSP00000382428	9606.ENSP00000377372	0	0	0	0	0.153	0	0	0.602	0.648
DLG4	GRM4	9606.ENSP00000382428	9606.ENSP00000440556	0	0	0	0	0.096	0.153	0	0.294	0.412
DLG4	IQSEC3	9606.ENSP00000382428	9606.ENSP00000437554	0	0	0	0	0.230	0.139	0	0.194	0.419
DLG4	C1orf226	9606.ENSP00000382428	9606.ENSP00000413150	0	0	0	0	0.062	0	0	0.408	0.420
DLG4	RASGRF1	9606.ENSP00000382428	9606.ENSP00000405963	0	0	0	0	0.120	0	0.500	0.256	0.644
DLG4	SRCIN1	9606.ENSP00000382428	9606.ENSP00000484715	0	0	0	0	0.097	0	0	0.702	0.720
DLG4	SHISA6	9606.ENSP00000382428	9606.ENSP00000390084	0	0	0	0	0.147	0	0.540	0.691	0.868
DLG4	NRXN3	9606.ENSP00000382428	9606.ENSP00000451648	0	0	0	0	0.096	0.154	0.600	0.874	0.956
DMD	PKP2	9606.ENSP00000354923	9606.ENSP00000070846	0	0	0	0	0	0.065	0	0.389	0.404
DMD	LGALS3	9606.ENSP00000354923	9606.ENSP00000254301	0	0	0	0	0	0	0	0.424	0.424
DMD	FN1	9606.ENSP00000354923	9606.ENSP00000346839	0	0	0	0	0	0	0	0.417	0.417
DMD	PDE5A	9606.ENSP00000354923	9606.ENSP00000347046	0	0	0	0	0.064	0	0	0.522	0.533
DMD	RYR1	9606.ENSP00000354923	9606.ENSP00000352608	0	0	0	0	0.100	0.057	0	0.573	0.606
DMD	TNNI1	9606.ENSP00000354923	9606.ENSP00000354488	0	0	0	0	0.063	0.057	0.600	0.310	0.723
DMD	DLG4	9606.ENSP00000354923	9606.ENSP00000382428	0	0	0	0	0	0.080	0	0.397	0.422
DMD	ADAM12	9606.ENSP00000354923	9606.ENSP00000357668	0	0	0	0	0	0	0	0.436	0.436
DMD	NRXN3	9606.ENSP00000354923	9606.ENSP00000451648	0	0	0	0	0.090	0	0	0.480	0.507
DMD	IQSEC3	9606.ENSP00000354923	9606.ENSP00000437554	0	0	0	0	0.062	0.113	0	0.497	0.545
DMD	KRT19	9606.ENSP00000354923	9606.ENSP00000355124	0	0	0	0	0	0.430	0.360	0.729	0.892
DMD	LAMB3	9606.ENSP00000354923	9606.ENSP00000375778	0	0	0	0	0	0	0.900	0.053	0.901
DOK7	PRSS12	9606.ENSP00000344432	9606.ENSP00000296498	0	0	0	0	0	0	0	0.467	0.467
DOK7	NTRK3	9606.ENSP00000344432	9606.ENSP00000354207	0	0	0	0	0	0.360	0	0.171	0.446
DOK7	LRP4	9606.ENSP00000344432	9606.ENSP00000367888	0	0	0	0	0.168	0	0	0.785	0.814
DPP4	FAP	9606.ENSP00000353731	9606.ENSP00000188790	0	0	0.444	0.952	0.076	0.462	0	0.857	0.512
DPP4	CEACAM6	9606.ENSP00000353731	9606.ENSP00000199764	0	0	0	0	0	0	0	0.406	0.406
DPP4	CCL22	9606.ENSP00000353731	9606.ENSP00000219235	0	0	0	0	0.062	0.679	0	0.278	0.763
DPP4	CTSC	9606.ENSP00000353731	9606.ENSP00000227266	0	0	0	0	0.062	0	0	0.462	0.474
DPP4	APOE	9606.ENSP00000353731	9606.ENSP00000252486	0	0	0	0	0.062	0	0	0.416	0.429
DPP4	LGALS3	9606.ENSP00000353731	9606.ENSP00000254301	0	0	0	0	0	0	0	0.820	0.820
DPP4	FOLH1	9606.ENSP00000353731	9606.ENSP00000256999	0	0	0	0	0.063	0	0	0.738	0.744
DPP4	NT5E	9606.ENSP00000353731	9606.ENSP00000257770	0.042	0	0	0	0.078	0	0	0.491	0.511
